,beer_kor_name,beer_eng_name,class,country,description,score,aroma,appearance,flavor,mouthfeel,type
10,구스 아일랜드 썸머 타임,Goose Island Summertime,Kolsch / Kolsch-Style,US,청량하고 상쾌한 독일 쾰른의 맥주 스타일 콜쉬(Kolsch)는 여름의 갈증을 풀어준다. 가볍게 과일 향이 나는 이 옅은 황금색 에일은 1차 발효 후 콜드 컨디셔닝되거나 라거 맥주입니다. 간단히 말해서 Summertime은 최고의 몰트와 독일 홉만을 사용하여 더운 여름과 따뜻한 여름 밤에 완벽한 맥주를 만듭니다.,3.062823276,3.174887892,6.00896861,3.152466368,12.14125561,기타
11,구스 아일랜드 페페 네로,Goose Island Pepe Nero,Saison / Farmhouse - Dark,US,로스팅/스모키한 맥아의 특성과 효모의 후추 향신료가 균형을 이루는 검은 호밀 세종. 상쾌한 수준의 탄산으로 드라이하게 마무리됩니다.,3.5315,3.783964365,6.971046771,3.476614699,14.26726058,"흑맥주, 기타"
12,구스 아일랜드 혼커스 에일,Goose Island Honkers Ale,Bitter - Ordinary / Best,US,영국 컨트리 펍 방문에서 영감을 받은 Honker's Ale는 과일 향이 나는 홉 향과 풍부한 몰트 중간을 결합하여 완벽하게 균형 잡힌 맥주를 만듭니다. 엄청나게 마실 수 있는 Honker's Ale는 믿을 수 있는 맥주일 뿐만 아니라 계속해서 기대하게 되는 맥주입니다.,3.233333333,3.436363636,6.284090909,3.163636364,12.70681818,"에일, 기타"
13,구스 아일랜드 312,Goose Island 312 Urban Wheat Ale,Wheat Ale,US,숫자에서 알 수 있듯이 풍미가 풍부하고 개성이 가득한 맥주입니다. 우리는 그것을 걸러내지 않으므로 생명과 영혼이 하나도 벗겨지지 않습니다. 가장 먼저 눈에 띄는 것은 흐릿하고 흐린 모습입니다. 필터링되지 않았다는 것을 알 수 있습니다. 다음으로 떠오르는 것은 캐스케이드 홉의 스파이시한 향에 이어 부드럽고 크리미한 바디에 보리 맥아와 토르티드 밀을 블렌딩하여 전달되는 바삭하고 과일 향이 나는 에일 향입니다. 여느 구스 아일랜드 맥주와 다르지 않지만 기대만큼은 아닙니다.,2.831861702,3.064814815,5.703703704,2.905092593,11.44907407,밀맥주
14,기네스 드라우트,Guinness Draught,Stout - Dry / Irish,IE,"일반적으로 초안이라고 합니다. 때때로 Cold 또는 Extra Cold라고도 함 - 같은 맥주이지만 더 차갑게 제공됩니다. Abv 범위는 양조 장소에 따라 4.1 ~ 4.3%입니다. 기네스는 호핑 및 농축 맥아즙을 지역 양조장으로 수출한 다음 현장에서 양조합니다.

1961년 런칭.

성분: 페일 에일 맥아, 약 25~30%의 플레이크 보리, 약 10%의 볶은 보리(다른 곡물이나 설탕 없음); 여러 홉 품종, 주로 골딩(펠렛 및 이성화 추출물); 솜털 모양의 머리를 만드는 에일 효모.""",3.462253963,4.292479109,6.635097493,3.470752089,13.79665738,"흑맥주, 드라이"
15,기네스 엑스트라 스타우트(북미),Guinness Extra Stout (North America),Stout - Dry / Irish,CA,Labatt의 맥주는 발효되지 않았지만 홉핑된 기네스 맥아즙 추출물이 첨가된 페일 에일 베이스입니다. Guinness Extra Stout은 Arthur Guinness Son &amp; 회사. 편집자 주: Moosehead도 기네스를 양조하고 있는 것 같습니다. 미국의 병은 늦게 거기에서 왔지만 캐나다 병은 여전히 ??Labatt를 보여주고 있습니다. 04/23/06,3.35995785,3.941441441,6.407657658,3.382882883,13.18243243,"흑맥주, 드라이"
16,기네스 엑스트라 스타우트(세계),Guinness Foreign Extra Stout,Stout - Extra / Foreign / Tropical,IE,"""Foreign Extra Stout은 다른 어떤 맥주와도 비교할 수 없는 맥주입니다. 가장 풍미가 풍부합니다. 독특하고 인상적입니다. 독특하게 만족스럽습니다. 여분의 홉과 볶은 보리로 양조하여 자연스러운 한 입 맛을 냅니다. 쓴맛과 단맛. 상쾌한 아삭함. 항상 보람. 순수한 아름다움 순수한 기네스.



편집자 주: 이것은 표준 FES입니다. 때때로 그것은 아일랜드에서 수입되지만 더 자주는 현지에서 양조됩니다. 이 버전은 카리브해와 아프리카에서 가장 일반적입니다. 자메이카, 나이지리아, 케냐, 가나를 제외한 모든 버전은 여기에서 평가되어야 합니다.""",3.657865558,4.059907834,7.202764977,3.686635945,14.64285714,흑맥주
17,기네스 흑맥주,Guinness Black Lager,Schwarzbier / Black Lager,IE,"기네스 블랙 라거는 볶은 보리로 콜드 브루잉하여 기네스 고유의 특성과 함께 라거의 상큼한 맛을 전달합니다. 병에서 바로 꺼낸 차가운 얼음을 즐기세요.





말레이시아에서는 프리미엄 맥주로 알려져 있으며 5%입니다.",2.741977077,3.322939866,5.302895323,2.748329621,10.73051225,"흑맥주, 라거"
18,기린 라거,Kirin Lager,Pale Lager - International / Premium,JP,"
""오리지널 레시피, 저온발효, 장기 숙성.

편집자 주: 미국에서도 양조됩니다: """"Anheuser-Busch는 1997년 로스앤젤레스 양조장에서 Kirin Lager, Kirin Ichiban 및 Kirin Light 양조를 시작했습니다. 이 계약은 Anheuser-Busch가 미국에서 판매할 외국 브랜드를 생산한 첫 번째 사례입니다. 주.""""""",2.075,2.515942029,4.092753623,2.339130435,7.950724638,라거
19,기린 이치방,Kirin Ichiban,Pale Lager - International / Premium,JP,"""병, 캔 및 통: 필터링됨.
전 세계 여러 지역(영국, 미국, 독일 등)에서 다양한 조리법과 abv.

최고급 보리 맥아, 프리미엄 홉, 부드러운 피니시, 쓴맛 없는 뒷맛""",2.231762918,2.944444444,4.761574074,2.576388889,9.287037037,라거
20,남산,Kabrew Namsan Mountain Premium Citra Ale,ISA - Session IPA,KR,남산은 시트라 홉의 레몬과 오렌지 향에 모자이크 홉의 패션프루트 향과 블랙커런트 향이 어우러진 프리미엄 에일입니다.,0,4,8,4,14,IPA
21,버드와이저,Budweiser,Pale Lager - American,US,"""1876년부터 양조 및 판매된 버드와이저는 70개국 이상에 유통되고 있습니다. 버드와이저는 다른 모든 국내 프리미엄 맥주를 합친 것보다 더 많이 팔리는 미국 프리미엄 맥주 카테고리를 주도하고 있습니다. 실제로 오늘날 미국에서 판매되는 거의 5개의 맥주 중 1개가 버드와이저입니다. .

""""우리는 양조하고 숙성하는 데 그렇게 많은 비용이 드는 다른 양조업체에서 생산하는 브랜드를 알지 못합니다. 우리의 독점적인 Beechwood Aging은 다른 어떤 맥주에서도 볼 수 없는 맛, 부드러움 및 마실 수 있는 맛을 제공합니다.""

""""100% 천연 재료로 양조합니다. 최고급 홉, 보리맥아, 쌀, 효모, 물만을 사용합니다. 우리는 유서 깊은 양조 방법을 사용하여 버드와이저를 만들고 숙성시킵니다.""""""",1.546582164,2.611111111,3.810606061,2.255050505,7.46969697,라거
22,버드와이저 셀렉트,Budweiser Select,Pale Lager - American,US,"깔끔한 끝맛을 위해 오랫동안 양조한 아메리칸 스타일 라거입니다. 12온스당 99칼로리, 3.1g의 탄수화물, 4.3%의 알코올을 함유하고 있습니다. 피복재.",1.483445946,2.064587973,3.042316258,1.997772829,5.755011136,라거
23,버드와이저 버드바,Budweiser Budvar,Pilsener - Bohemian / Czech,CZ,"B: 체코산 라거 오리지널/오리지널입니다



대부분의 미주 지역에서는 체코바(Anheuser-Busch와의 상표권 분쟁으로 인해), 나머지 지역에서는 버드와이저 버드바(Budweiser Budvar)로 판매됩니다. 시장에 따라 ""B: Original"", ""Original 체코 라거"" 또는 ""Original""이라는 자막을 채택하여 회사가 버드와이저 이름을 처음 사용했음을 강조합니다.



통콘으로 양조된 사즈 홉, 빙하시대 대수층에서 나오는 청정수, 모라비안 맥아팅 보리, 그리고 우리의 유산인 라거 이스트는 전 세계적으로 풍부하고 풍성한 맛이 나는 이 라거가 체코 양조의 금본위제가 되고 있습니다. 저희 양조장의 대부분의 맥주보다 7배 더 오래 냉방을 하는 전통은 달콤하고 깊은 황금빛 몸체와 향기롭고 호피한 거품을 가진 옅은 라거를 만듭니다. 과감한 맛이지만 상큼하고 완벽한 밸런스입니다.",3.155094924,0,0,0,0,필스너
24,버드와이저 버드바 흑맥주,Budweiser Budvar Dark,Dark Lager - Dunkel / Tmavy,CZ ,"버드와이저 버드바 다크는 복고풍입니다. 이것은 19세기 중반에 바닥 발효 황금 라거가 이 쇼를 훔치기 전에 모든 보헤미안 라거와 바이에른 라거들이 어떻게 맛을 봤는지에 최대한 가깝게 설계되었기 때문입니다. 이제, 버드와이저 버드바 덕분에, 다크사이드는 다시 중앙 무대로 이동하고 있습니다.



Original과 같은 양조 주기를 즐기면서, Dark는 뮌헨, 캐러멜, 구운 세 종류의 맥아에서 우려낸 맛있는 구운 맛을 얻습니다.",3.213574661,3.604545455,6.302272727,3.193181818,12.79545455,"라거, 흑맥주"
25,사이프러스 비너스,Cyprus Venus,Weissbier - Hefeweizen,CY,,0,0,0,0,0,밀맥주
26,데스페라도스,Desperados,Flavored - Other,FR ,"우주의 풍부함, 이름의 힘, 상쾌한 맛, 데스페라도스는 전형적인 맛을 가진 관대한 맥주입니다.





데킬라 배럴을 숙성시킨 라거와 자연 풍미가 가미된 맥주입니다.",1.820689655,2.465116279,3.590697674,2.088372093,6.855813953,과일
27,데스페라도스 레드,Desperados Red,Flavored - Other,FR,"데킬라, 카차카, 과라나로 향을 낸 맥주입니다.",1.821787709,2.502857143,3.422857143,2,6.428571429,과일
28,드라이 D,Hite D (Dry Finish),Pale Lager - International / Premium,KR,기운을 차리세요. 매일의 일상에서 벗어나세요. 하이트 D는 엄선된 드라이 효모를 사용하여 당사의 독점 드라이 피니시 공정으로 양조됩니다.,2.093220339,2.542372881,3.966101695,2.355932203,8.118644068,라거
29,라구니타스 IPA,Lagunitas India Pale Ale (IPA),IPA,US,"이것은 우리의 독특한 고대 양식의 버전입니다. 지난 세기의 대형 선박의 해상 교역로만큼이나 오래된 스타일입니다. 적도만큼 오래 된 것도 아니고, 항해를 하던 10,000마일 정도의 디하이드로겐 산화물과 나트륨보다도 오래 된 것도 아니고, 루풀린 석영산염을 미뢰에 결합시키는 서큘리튬-4 렌트로이드보다도 오래 된 것입니다. 이상하네요. 생각해 보세요. 이제 그만해요. 좋아요, 다시 해요, 이제 그만해요. 다시 한 번 생각하고, 멈추세요. 하지만 우리는 빗나갑니다. 43개의 홉과 65개의 다양한 맥아로 만들어진 이 레돌렌트 에일은 여러분이 어디에 있든지 여러분의 배를 띄울 것입니다.",3.569319271,3.598465473,6.933503836,3.475703325,14.03836317,IPA
30,라구니타스 데이타임,Lagunitas DayTime,ISA - Session IPA,US,"4% ABV에 불과 98칼로리의 DayTime IPA는 소토 목소리로 표현되는 홉 포워드 맥주 제조에 대해 우리가 알고 있는 모든 것을 나타냅니다.



이 캔에 담긴 맥주는 우리 스스로가 바라는 바를 이루어냈습니다. 다시 새롭게 만들어질 것입니다. 기대의 집을 불태우는 데는 자유가 있고 그것은 부인할 수 없는 가벼움을 줍니다. 우리는 이러한 진리를 창조한 것이 아니라, 그들이 우리를 창조한 것입니다.",3.510267857,3.344578313,6.636144578,3.257831325,13.6746988,IPA
31,라구니타스 막시무스,Lagunitas Maximus IPA,IIPA DIPA - Imperial / Double IPA,US,"한여름 더위가 극에 달했을 때, 우리는 유일한 치료법이 신선한 홉과 맥아로 가득 찬 맹렬한 입이라고 느꼈습니다. 주의하세요. 치아에서 에나멜을 제거할 수 있습니다. Lagunitas IPA 약 30% 펌프업입니다!

IBU: 72.41입니다.",3.757428915,3.830275229,7.474770642,3.77293578,15.24311927,IPA
32,칭따오 라오산 4.0,Tsingtao Laoshan 4.0% 10°P,Pale Lager - International / Premium,CN,"재료: 물, 보리 맥아, 쌀, 시럽, 홉입니다.







참고: 이 항목에서는 4%ABV로 Laoshan만 평가하십시오. 어떤 식으로든 다르고 양조업체의 다른 항목과 일치하지 않는 경우 알코올 도수, 도수 플라톤(중요!), GTIN 및 가급적이면 전면 및 후면 라벨 사진에 대한 링크를 첨부하여 항목을 설정할 수 있도록 요청하십시오.",1.804545455,2.523809524,3.523809524,2.285714286,6.904761905,라거
33,칭따오 라오산 4.7,Tsingtao Laoshan 4.7% 11°P,Pale Lager - International / Premium,CN,"라오산 프리미엄 맥주는 칭다오 맥주의 열정과 전통 장인 정신을 구현하고 있습니다. 라오산 프리미엄 맥주는 부드럽고 바삭한 맥아 향을 냅니다.







재료: 물, 보리 맥아, 쌀, 홉입니다.",1.858333333,2.416666667,3.583333333,2.166666667,6.916666667,라거
34,레페 브라운,Leffe Brune,Belgian Ale - Dark / Amber,BE,"진한 갈색에 풍성하고 달콤하며 과일 향이 나는 벨기에의 전통 수도원 맥주입니다.



재료: 거무스름하고 구운 맥아, 옥수수, 물, 홉, 이스트입니다.",3.480637354,0,0,0,0,"흑맥주, 벨기에 에일"
35,망고 링고,Mango Lingo,Radler / Shandy,KR,하이트 망고 링고는 망고 맛의 과일 믹스 맥주입니다. 자연산 망고 추출물이 함유되어 있어 가볍고 과일감을 느낄 수 있습니다.,2.4,0,0,0,0,과일
36,하이트 프라임 맥스,Hite Prime Max,Pale Lager - International / Premium,KR,"최고급 맥아를 포함한 100% 몰트 맥주로, 캐스케이드 아로마 홉과 부드러운 크림 거품을 저희 독점 공정으로 선택하였습니다",1.95,2.405172414,3.784482759,2.137931034,7.206896552,라거
37,매그너스 쥬시 애플,Magners Juicy Apple,Apple Cider,IE,"Magners Juicy Apple은 Tipperary주 Clonmel에 있는 과수원에서 수확한, 즙이 많은 사과를 가장 잘 섞어서 만든 최고급 아이리시 사이다입니다. 새로 들어온 애플 사이다나 더 달콤한 사과 사이다를 선호하는 소비자를 위한 약간 더 달콤한 사과 사이다입니다.",2.65,2.5,5.5,4,8.5,과일
38,밀러 드래프트,Miller Genuine Draft (MGD),Pale Lager - American,US,미국 양조의 진정한 혁신을 대표하는 MGD의 특허 기술인 냉간 여과 공정은 병과 캔에 담겨 있는 생맥주의 부드러운 마실 수 있는 효과를 만들어 냅니다.,1.689849624,2.659624413,3.697183099,2.213615023,6.953051643,라거
39,밀러 라이트,Miller Lite,Pale Lager - American,US,이 정성껏 만든 필스너는 96칼로리에서 풍부하고 몸에 좋은 맥주 맛을 보장하기 위해 최고급 재료와 양조 기술을 사용합니다.,1.507922393,2.44212963,3.548611111,2.118055556,6.828703704,라거
40,밀러 칠 체라다 스타일,Miller Chill Chelada Style,Flavored - Fruit,US,"밀러 칠, 천연 맛이 나는 담백한 맥주입니다. 첼라다 스타일입니다. 라임과 소금을 곁들인 멕시코 레시피에서 영감을 받았습니다.",1.46991404,1.970982143,2.892857143,1.810267857,5.002232143,과일
41,밀러 하이 라이프,Miller High Life,Pale Lager - American,US,"""맥주의 샴페인""인 밀러 하이라이프는 1903년으로 거슬러 올라갑니다. 밀러 하이 라이프(Miller High Life)는 한결같이 바삭바삭하고 부드러운 맛과 상징적인 투명 유리 병으로 알려진 미국 스타일의 클래식 라거입니다. 밀러 하이라이프는 풍부한 유산을 수용하며, 마시는 사람들에 의해 진짜이고 가식 없는 맥주로 알려져 있습니다. 미국 최고의 맥주 가치로서, 우리는 맥주를 마시는 사람들에게 ""Take Back the High Life""를 권합니다.",1.852706553,2.796766744,4.327944573,2.52886836,8.512702079,라거
42,산미구엘페일필젠,San Miguel Pale Pilsen,Pale Lager - International / Premium,PH,"""산 미구엘 맥주와 산 미구엘 드래프트로도 알려져 있습니다.

2006년과 2008년 사이에 산 미겔 프리미엄 라거로 미국에 수입되었습니다.

산 미겔 페일 필센은 산 미겔 맥주라고 널리 불리는 필스너로 유명한 이 회사의 대표 브랜드이자 필리핀의 대표 양조주입니다. 그것은 세계에서 가장 많이 팔리는 맥주 중 하나입니다. 독일과 미국 홉뿐만 아니라 수입 보리 맥아로 만든 이 맥아는 전 세계 40여 개국에 수출되고 있습니다.""",2.062146226,2.610738255,4.134228188,2.357941834,8.067114094,라거
43,삿포로,Sapporo Draft Beer,Pale Lager - International / Premium,JP,"""이렇게 맥아와 홉의 완벽한 균형은 여러분에게 첫 한 모금부터 마지막 한 모금까지 훌륭한 음주 경험을 제공합니다.

재료: 물, 보리 맥아, 쌀, 옥수수, 녹말, 홉입니다.""",2.568421053,0,0,0,0,라거
44,삿포로 리저브,Sapporo Reserve,Pale Lager - International / Premium,JP,삿포로 리저브는 다른 경쟁 브랜드보다 거의 두 배나 길게 우려낸 최고급 라거입니다. 비축량은 최고급 유럽산 보리와 가장 엄선된 유럽산 홉으로 양조됩니다.,2.513649025,2.887640449,4.935393258,2.733146067,9.825842697,라거
45,삿포로 프리미엄,Sapporo premium lager,Pale Lager - International / Premium,JP,,2.250280899,0,0,0,0,라거
46,산토리,Suntory The Premium Malt's,Pale Lager - International / Premium,JP,프리미엄 몰트의 은은한 꽃 향기와 풍부하고 질 좋은 맛이 특징입니다. 프리미엄 몰트는 완벽한 프리미엄 맥주를 추구하기 위해 독창적인 양조 방법을 사용하여 엄선된 순수 성분으로 만들어집니다.,2.656989247,2.961748634,5.393442623,2.81420765,10.57377049,라거
47,산토리카오루에일,Suntory The Premium Malt's Kaoru Ale,Blonde Ale / Golden Ale,JP,"과일 맛이 일품인 프리미엄 에일 맥주입니다. 윗부분을 발효시켰습니다.


재료: 물, 보리 맥아(다이아몬드 맥아), 홉입니다.""",3.280952381,3.1,6.55,3.1,12.55,에일
48,슈파텐 뮌헨,Spaten Munchner Munchen,Helles / Dortmunder Export,DE,"재료는 다음과 같습니다. 물, 보리 몰트, 홉 & 홉 추출물입니다.

독일에서는 Munchner Hell, 영국에서는 Munchen, 북미에서는 Premium으로 판매됩니다.

이 맥주는 저희 가게의 특산품입니다. 1894년에 Spaten은 뮌헨에서 이 브랜드의 가벼운 라거를 생산하는 최초의 양조장이 되었습니다. 황금색으로 균형 잡힌 홉 플레이버입니다. 통통한 몸매는 홉과 달콤한 맛의 절묘한 밸런스입니다.


11.7 플라톤입니다.",2.883221925,0,0,0,0,"라거, 기타"
49,슈파텐 옥토버페스트,Spaten Oktoberfest Ur-Marzen,Marzen / Oktoberfest Bier,DE,호박색입니다. 이 중간 크기의 바디드 맥주는 구운 맥아 맛과 완벽한 홉의 균형을 맞춰 흠잡을 데 없는 맛을 달성했습니다. 전통에 충실한 단맛과 풍부한 질감의 미각을 가지고 있습니다.,3.331764706,3.599099099,6.538288288,3.416666667,13.33783784,"라거, 기타"
50,슈파텐 옵티메이터,Spaten Optimator,Bock - Doppelbock,DE,"독일의 고전적인 다크 맥주, 바닥 발효 '도펠 보크'입니다. 진한 진한 색상과 풍부한 구운 맥아 맛으로 가득 차 있습니다.",3.652795031,3.800904977,7.235294118,3.694570136,14.54977376,"라거, 기타"
51,스텔라 아르투아,Stella Artois,Pale Lager - International / Premium,BE ,"""스텔라 아르투아는 세계에서 가장 잘 팔리는 맥주 중 하나이고 80개 이상의 국가에서 즐겨 마십니다. 고급 양조 공정과 최고급 재료를 사용하여 완전하고 특징적인 향과 고품질을 보장합니다.

영국 버전은 샘즈베리에서 양조, 여과 및 통조림됩니다. 통조림이나 병에 담기 전에 배치가 저온 살균을 위해 마고르로 보내집니다.""",2.541781577,3.183206107,5.27735369,2.870229008,10.68193384,라거
52,싱하,Singha Draft,Pale Lager - International / Premium,TH,생맥주의 신선한 맛을 캔에 담아낸 싱하 드래프트는 특별한 여과 및 살균 과정을 활용하여 품질과 지속적인 신선도를 보장합니다.,2.40754717,2.568627451,4.666666667,2.509803922,9.62745098,라거
53,써머스비 애플,Somersby Apple Cider,Apple Cider,DK ,"이제 51% cider가 들어 있습니다. 덴마크어: 저는 영국을 원해서 브리겟발찌더(brygget æblecider)입니다. 자랑스러운 전통에 따라 그는 서머스비 애플 시더에 사는 사람들을 위해 열심히 노력했습니다. 개 har vi tilpasset 앞 cider til dance smag. 도그 하 vi tilpasset 앞 cider til





나는 향기를 풍기는 소박한 여름철의 향기를 풍기는 og smagen afsluttes med and cousagely syre. 색칠하고 있는 거구요.",2.271028037,2.495297806,4.536050157,2.401253918,8.567398119,과일
54,바르슈타이너,Warsteiner Premium Verum,Pilsener / Pils / Pilsner,DE,독일 클래식 필스터,2.721159303,3.141509434,5.294811321,2.849056604,10.57311321,필스너
55,바르슈타이너 던켈,Warsteiner Premium Dunkel,Dark Lager - Dunkel / Tmavy,DE,깨끗하고 진한 라거,3.071807229,3.408988764,6.112359551,3.15505618,12.45168539,"라거, 흑맥주"
56,벡스,Beck's,Pale Lager - International / Premium,DE,"저희 회사의 오리지널 벡스 맥주는 특유의 통통한 맛과 신선한 ""호피"" 부케, 황금색과 풍부한 머리를 가진 독일의 고전적인 라거 맥주입니다. 약간의 과일맛을 더하지만 단단한 바삭함과 건조하고 깨끗한 마감입니다.",2.354793962,2.831381733,4.601873536,2.533957845,8.892271663,라거
57,벡스 흑맥주,Beck's Dark,Dark Lager - Dunkel / Tmavy,DE,"벡스 다크(Beck's Dark)는 풍부하고 부드러우며 여운이 남아있고 약간 달콤한 뒷맛입니다. 진한 흑단색은 특별히 보리 맥아를 볶은 결과입니다. 다크 에일과 달리, 벡스 다크(Beck's Dark)는 라거 맥주의 상쾌한 특성을 유지하면서 강한 맛과 온전한 몸매를 만들어 내는 바닥 발효 라거입니다.",2.577777778,3.2,4.955555556,2.748888889,9.948888889,"라거, 흑맥주"
58,브루독 펑크 AF,BrewDog Punk AF,Low / No Alcohol Beer - Pale,US,"술은 안 마셔도 그냥 취해버렸어요. 그리고 펑크 AF는 청구서에 따라 움직입니다. 모든 태도, 모든 맛은 알콜은 빼고요. 마을에 있는 펑크 알코올 무료 맥주에게 인사하세요. 즙이 많은 열대 과일은 풀과 소나무의 노트와 섞습니다. 모두 고체 맥아 베이스라인 위에 앉아 있습니다. 풍미도 좋고, 술도 없고, 펑크요.",2.919459459,3.060240964,5.626506024,2.722891566,11.63855422,무알코올
59,브루독 펑크 IPA,BrewDog Punk IPA (5.6%),IPA,GB,"재료: 추가 페일 몰트; 치누크, 아테넘, 아마릴로, 캐스케이드, 심코, 넬슨 사우빈 홉입니다. IBUs 45입니다.



이 신선하고 풍미가 풍부한 천연 맥주는 지난 해의 고전적인 IPA에 대한 우리의 헌사입니다. 포스트 모던 트위스트는 열대 과일 향의 폭발과 날카로운 쓴 맛을 주는 놀라운 과일 홉의 추가입니다.",3.736439449,3.693370166,7.110497238,3.591160221,14.52209945,IPA
